Customer_ID,Customer_Name,Segment,Region,recency_days,total_orders,total_revenue,R_score,F_score,M_score,RFM_score,RFM_Segment
AR-10540,Andy Reiter,Consumer,East,6,6,1236816,5,3,4,534,Loyal
AR-10570,Anemone Ratner,Consumer,South,534,1,5539,1,1,1,111,Lost / Hibernating
AR-10825,Anthony Rawles,Corporate,West,58,8,2959055,3,4,5,345,Loyal
AS-10045,Aaron Smayling,Corporate,South,88,7,2257567,3,3,5,335,Loyal
AS-10090,Adam Shillingsburg,Consumer,South,28,9,1970668,4,5,4,454,Champions
AS-10135,Adrian Shami,Home Office,East,41,2,5882,4,1,1,411,New / Promising
AS-10225,Alan Schoenberger,Corporate,East,22,5,450796,5,2,2,522,New / Promising
AS-10240,Alan Shonely,Consumer,South,192,5,421231,2,2,2,222,Lost / Hibernating
AS-10285,Alejandro Savely,Corporate,West,19,6,568434,5,3,2,532,Needs Attention
AS-10630,Ann Steele,Home Office,Central,92,7,271051,3,3,2,332,Needs Attention
AT-10435,Alyssa Tate,Home Office,West,21,5,907691,5,2,3,523,New / Promising
AT-10735,Annie Thurman,Consumer,West,13,10,622239,5,5,2,552,Needs Attention
AW-10840,Anthony Witt,Consumer,Central,20,4,255428,5,1,2,512,New / Promising
AW-10930,Arthur Wiediger,Home Office,Central,46,7,1469542,4,3,4,434,Loyal
AY-10555,Andy Yotov,Corporate,West,14,4,278071,5,1,2,512,New / Promising
AZ-10750,Annie Zypern,Consumer,East,160,6,1350182,2,3,4,234,At-Risk
BB-10990,Barry Blumstein,Corporate,West,105,5,438232,2,2,2,222,Lost / Hibernating
BB-11545,Brenda Bowman,Corporate,Central,28,9,1728860,4,5,4,454,Champions
BC-11125,Becky Castell,Home Office,West,202,9,2154546,2,5,5,255,At-Risk High Value
BD-11320,Bill Donatelli,Consumer,West,33,12,2408861,4,5,5,455,Champions
BD-11500,Bradley Drucker,Consumer,Central,35,6,1032319,4,3,3,433,Loyal
BD-11560,Brendan Dodson,Home Office,West,278,2,32054,1,1,1,111,Lost / Hibernating
BD-11605,Brian Dahlen,Consumer,East,97,6,922619,3,3,3,333,Loyal
BD-11620,Brian DeCherney,Consumer,West,69,6,1014247,3,3,3,333,Loyal
BD-11635,Brian Derr,Consumer,South,9,3,178501,5,1,1,511,New / Promising
BD-11725,Bruce Degenhardt,Consumer,South,93,6,152650,3,3,1,331,Needs Attention
BD-11770,Bryan Davis,Consumer,Central,327,6,449045,1,3,2,132,At-Risk
BE-11335,Bill Eplett,Home Office,Central,119,5,322337,2,2,2,222,Lost / Hibernating
BE-11410,Bobby Elias,Consumer,East,98,5,495179,3,2,2,322,Needs Attention
BE-11455,Brad Eason,Home Office,Central,481,5,172062,1,2,1,121,Lost / Hibernating
BF-10975,Barbara Fisher,Corporate,South,91,7,208991,3,3,1,331,Needs Attention
BF-11005,Barry Franz,Home Office,West,39,4,959813,4,1,3,413,New / Promising
BF-11020,Barry Französisch,Corporate,Central,74,8,1589977,3,4,4,344,Loyal
BF-11080,Bart Folk,Consumer,East,25,3,21760,5,1,1,511,New / Promising
BF-11170,Ben Ferrer,Home Office,West,16,11,2787105,5,5,5,555,Champions
BF-11215,Benjamin Farhat,Home Office,West,65,4,327061,3,1,2,312,Needs Attention
BF-11275,Beth Fritzler,Corporate,West,57,3,754271,3,1,3,313,Needs Attention
BG-11035,Barry Gonzalez,Consumer,South,28,8,1992242,4,4,5,445,Champions
BG-11695,Brooke Gillingham,Corporate,East,36,6,1742592,4,3,4,434,Loyal
BG-11740,Bruce Geld,Consumer,East,57,6,611274,3,3,2,332,Needs Attention
BH-11710,Brosina Hoffman,Consumer,West,23,8,4741353,5,4,5,545,Champions
BK-11260,Berenike Kampe,Consumer,East,77,6,126068,3,3,1,331,Needs Attention
BM-11140,Becky Martin,Consumer,Central,307,4,9134567,1,1,5,115,Lost / Hibernating
BM-11575,Brendan Murry,Corporate,East,100,6,392119,3,3,2,332,Needs Attention
BM-11650,Brian Moss,Corporate,East,33,11,1415241,4,5,4,454,Champions
BM-11785,Bryan Mills,Consumer,East,218,10,1192754,2,5,4,254,At-Risk High Value
BN-11470,Brad Norvell,Corporate,South,24,4,105528,5,1,1,511,New / Promising
BN-11515,Bradley Nguyen,Consumer,West,9,5,110955,5,2,1,521,New / Promising
BO-11350,Bill Overfelt,Corporate,West,137,5,563516,2,2,2,222,Lost / Hibernating
BO-11425,Bobby Odegard,Consumer,South,75,2,13083,3,1,1,311,Needs Attention
BP-11050,Barry Pond,Corporate,East,83,5,44477,3,2,1,321,Needs Attention
BP-11095,Bart Pistole,Corporate,Central,17,12,869519,5,5,3,553,Loyal
BP-11155,Becky Pak,Consumer,South,89,6,209468,3,3,1,331,Needs Attention
BP-11185,Ben Peterman,Corporate,West,1,9,2118528,5,5,5,555,Champions
BP-11230,Benjamin Patterson,Consumer,West,39,5,118149,4,2,1,421,New / Promising
BP-11290,Beth Paige,Consumer,Central,12,7,1737733,5,3,4,534,Loyal
BS-11365,Bill Shonely,Corporate,East,558,5,1845660,1,2,4,124,Lost / Hibernating
BS-11380,Bill Stewart,Corporate,Central,28,5,2675588,4,2,5,425,New / Promising
BS-11590,Brendan Sweed,Corporate,West,35,6,1422601,4,3,4,434,Loyal
BS-11665,Brian Stugart,Consumer,East,582,3,2145596,1,1,5,115,Lost / Hibernating
BS-11755,Bruce Stewart,Consumer,West,1,7,1296496,5,3,4,534,Loyal
BS-11800,Bryan Spruell,Home Office,East,265,2,77699,1,1,1,111,Lost / Hibernating
BT-11305,Beth Thompson,Home Office,West,336,5,261001,1,2,2,122,Lost / Hibernating
BT-11395,Bill Tyler,Corporate,Central,302,6,838116,1,3,3,133,At-Risk
BT-11440,Bobby Trafton,Consumer,West,560,4,512841,1,1,2,112,Lost / Hibernating
BT-11485,Brad Thomas,Home Office,East,659,2,66221,1,1,1,111,Lost / Hibernating
BT-11530,Bradley Talbott,Home Office,West,91,5,2001554,3,2,5,325,Needs Attention
BT-11680,Brian Thompson,Consumer,East,20,7,375882,5,3,2,532,Needs Attention
BV-11245,Benjamin Venier,Corporate,Central,334,5,795119,1,2,3,123,Lost / Hibernating
BW-11065,Barry Weirich,Consumer,South,212,3,372358,2,1,2,212,Lost / Hibernating
BW-11110,Bart Watters,Corporate,Central,121,8,4190918,2,4,5,245,At-Risk High Value
BW-11200,Ben Wallace,Consumer,South,203,6,1316657,2,3,4,234,At-Risk
CA-11965,Carol Adams,Corporate,South,96,6,4047211,3,3,5,335,Loyal
CA-12055,Cathy Armstrong,Home Office,Central,401,5,1020042,1,2,3,123,Lost / Hibernating
CA-12265,Christina Anderson,Consumer,Central,56,8,3730506,3,4,5,345,Loyal
CA-12310,Christine Abelman,Corporate,East,13,4,212597,5,1,1,511,New / Promising
CA-12775,Cynthia Arntzen,Consumer,South,120,7,1836484,2,3,4,234,At-Risk
CB-12025,Cassandra Brandow,Consumer,East,47,9,2825073,4,5,5,455,Champions
CB-12415,Christy Brittain,Consumer,East,26,8,1605193,5,4,4,544,Champions
CB-12535,Claudia Bergmann,Corporate,South,197,8,6231284,2,4,5,245,At-Risk High Value
CC-12100,Chad Cunningham,Home Office,Central,457,5,975078,1,2,3,123,Lost / Hibernating
CC-12145,Charles Crestani,Consumer,West,106,7,2054311,2,3,5,235,At-Risk
CC-12220,Chris Cortes,Consumer,Central,20,11,1512076,5,5,4,554,Champions
CC-12370,Christopher Conant,Consumer,South,43,5,9361086,4,2,5,425,New / Promising
CC-12430,Chuck Clark,Home Office,Central,0,10,1162147,5,5,4,554,Champions
CC-12475,Cindy Chapman,Consumer,East,39,9,193725,4,5,1,451,Needs Attention
CC-12550,Clay Cheatham,Consumer,West,27,3,73008,4,1,1,411,New / Promising
CC-12610,Corey Catlett,Corporate,East,34,7,909822,4,3,3,433,Loyal
CC-12670,Craig Carreira,Consumer,East,29,7,10045850,4,3,5,435,Loyal
CC-12685,Craig Carroll,Consumer,South,798,4,1528028,1,1,4,114,Lost / Hibernating
CD-11920,Carlos Daly,Consumer,West,40,5,366727,4,2,2,422,New / Promising
CD-11980,Carol Darley,Consumer,Central,54,3,352702,3,1,2,312,Needs Attention
CD-12280,Christina DeMoss,Consumer,West,42,2,377863,4,1,2,412,New / Promising
CD-12790,Cynthia Delaney,Home Office,West,399,5,748656,1,2,3,123,Lost / Hibernating
CG-12040,Catherine Glotzbach,Home Office,East,49,6,790645,4,3,3,433,Loyal
CG-12520,Claire Gute,Consumer,South,338,3,237926,1,1,1,111,Lost / Hibernating
CH-12070,Cathy Hwang,Home Office,South,690,3,1240335,1,1,4,114,Lost / Hibernating
CJ-11875,Carl Jackson,Corporate,East,365,1,1652,1,1,1,111,Lost / Hibernating
CJ-12010,Caroline Jumper,Consumer,West,189,8,4659540,2,4,5,245,At-Risk High Value
CK-12205,Chloris Kastensmidt,Consumer,East,39,13,2405776,4,5,5,455,Champions
CK-12325,Christine Kargatis,Home Office,West,120,5,429497,2,2,2,222,Lost / Hibernating
CK-12595,Clytie Kelty,Consumer,East,43,11,555569,4,5,2,452,Needs Attention
CK-12760,Cyma Kinney,Corporate,East,82,9,519776,3,5,2,352,Needs Attention
CL-11890,Carl Ludwig,Consumer,East,106,4,273427,2,1,2,212,Lost / Hibernating
CL-12565,Clay Ludtke,Consumer,Central,284,12,2733152,1,5,5,155,At-Risk High Value
CL-12700,Craig Leslie,Home Office,Central,260,4,710303,1,1,3,113,Lost / Hibernating
CM-11815,Candace McMahon,Corporate,Central,131,6,839264,2,3,3,233,At-Risk
CM-11935,Carlos Meador,Consumer,South,707,2,533784,1,1,2,112,Lost / Hibernating
CM-12115,Chad McGuire,Consumer,East,8,4,166161,5,1,1,511,New / Promising
CM-12160,Charles McCrossin,Consumer,Central,26,6,620940,5,3,2,532,Needs Attention
CM-12190,Charlotte Melton,Consumer,East,8,6,322766,5,3,2,532,Needs Attention
CM-12235,Chris McAfee,Consumer,Central,385,5,1526348,1,2,4,124,Lost / Hibernating
CM-12385,Christopher Martinez,Consumer,South,37,4,2921410,4,1,5,415,New / Promising
CM-12445,Chuck Magee,Consumer,West,436,3,140498,1,1,1,111,Lost / Hibernating
CM-12655,Corinna Mitchell,Home Office,West,27,5,1676780,4,2,4,424,New / Promising
CM-12715,Craig Molinari,Corporate,Central,1034,4,14798847,1,1,5,115,Lost / Hibernating
CP-12085,Cathy Prescott,Corporate,East,82,8,954958,3,4,3,343,Loyal
CP-12340,Christine Phan,Corporate,East,160,7,4842397,2,3,5,235,At-Risk
CR-12580,Clay Rozendal,Home Office,Central,57,4,1946262,3,1,4,314,Needs Attention
CR-12625,Corey Roper,Home Office,East,470,3,21562,1,1,1,111,Lost / Hibernating
CR-12730,Craig Reiter,Consumer,East,78,4,683891,3,1,3,313,Needs Attention
CR-12820,Cyra Reiten,Home Office,East,85,3,1416047,3,1,4,314,Needs Attention
CS-11845,Cari Sayre,Corporate,West,91,5,1113723,3,2,4,324,Needs Attention
CS-11860,Cari Schnelling,Consumer,South,162,6,513818,2,3,2,232,At-Risk
CS-11950,Carlos Soltero,Consumer,Central,25,11,2625787,5,5,5,555,Champions
CS-12130,Chad Sievert,Consumer,West,489,4,484320,1,1,2,112,Lost / Hibernating
CS-12175,Charles Sheldon,Corporate,South,232,5,100968,1,2,1,121,Lost / Hibernating
CS-12250,Chris Selesnick,Corporate,South,26,12,536553,5,5,2,552,Needs Attention
CS-12355,Christine Sundaresam,Consumer,South,6,11,1295926,5,5,4,554,Champions
CS-12400,Christopher Schild,Home Office,Central,2,9,8447918,5,5,5,555,Champions
CS-12460,Chuck Sachs,Consumer,South,27,2,68226,4,1,1,411,New / Promising
CS-12490,Cindy Schnelling,Corporate,Central,424,4,6018296,1,1,5,115,Lost / Hibernating
CS-12505,Cindy Stewart,Consumer,South,58,6,5076489,3,3,5,335,Loyal
CT-11995,Carol Triggs,Consumer,Central,96,8,1608110,3,4,4,344,Loyal
CV-12295,Christina VanderZanden,Consumer,West,254,5,1115624,1,2,4,124,Lost / Hibernating
CV-12805,Cynthia Voltz,Corporate,East,5,9,4035688,5,5,5,555,Champions
CW-11905,Carl Weiss,Home Office,Central,22,6,252468,5,3,2,532,Needs Attention
CY-12745,Craig Yedwab,Corporate,West,60,7,925054,3,4,3,343,Loyal
Co-12640,Corey-Lock,Consumer,East,549,5,99683,1,2,1,121,Lost / Hibernating
DA-13450,Dianna Arnett,Home Office,Central,352,4,72484,1,1,1,111,Lost / Hibernating
DB-12910,Daniel Byrd,Home Office,South,21,8,1191013,5,4,4,544,Champions
DB-12970,Darren Budd,Corporate,West,241,4,2331942,1,1,5,115,Lost / Hibernating
DB-13060,Dave Brooks,Consumer,West,16,6,1387250,5,3,4,534,Loyal
DB-13120,David Bremer,Corporate,West,48,7,563452,4,4,2,442,Needs Attention
DB-13210,Dean Braden,Consumer,Central,9,10,1549820,5,5,4,554,Champions
DB-13270,Deborah Brumfield,Home Office,West,53,8,1493450,4,4,4,444,Champions
DB-13360,Dennis Bolton,Home Office,East,264,5,584144,1,2,2,122,Lost / Hibernating
DB-13405,Denny Blanton,Consumer,Central,187,4,235314,2,1,1,211,Lost / Hibernating
DB-13555,Dorothy Badders,Corporate,South,107,7,7489325,2,4,5,245,At-Risk High Value
DB-13615,Doug Bickford,Consumer,West,33,7,1234157,4,4,4,444,Champions
DB-13660,Duane Benoit,Consumer,East,12,7,807307,5,4,3,543,Loyal
DC-12850,Dan Campbell,Consumer,South,37,9,3009603,4,5,5,455,Champions
DC-13285,Debra Catini,Consumer,Central,23,5,922096,5,2,3,523,New / Promising
DD-13570,Dorothy Dickinson,Consumer,Central,41,6,143821,4,3,1,431,Needs Attention
DE-13255,Deanra Eno,Home Office,East,718,5,216886,1,2,1,121,Lost / Hibernating
DF-13135,David Flashing,Consumer,West,699,3,1566314,1,1,4,114,Lost / Hibernating
DG-13300,Deirdre Greer,Corporate,East,32,5,1249901,4,2,4,424,New / Promising
DH-13075,Dave Hallsten,Corporate,South,277,5,477688,1,2,2,122,Lost / Hibernating
DH-13675,Duane Huffman,Home Office,East,775,4,831911,1,1,3,113,Lost / Hibernating
DJ-13420,Denny Joy,Corporate,South,637,4,70311,1,1,1,111,Lost / Hibernating
DJ-13510,Don Jones,Corporate,South,48,8,1866612,4,4,4,444,Champions
DJ-13630,Doug Jacobs,Consumer,East,12,3,1657810,5,1,4,514,New / Promising
DK-12835,Damala Kotsonis,Corporate,West,21,12,607438,5,5,2,552,Needs Attention
DK-12895,Dana Kaydos,Consumer,Central,45,5,1361028,4,2,4,424,New / Promising
DK-12985,Darren Koutras,Consumer,South,7,5,358559,5,2,2,522,New / Promising
DK-13090,Dave Kipp,Consumer,West,42,7,1731225,4,4,4,444,Champions
DK-13150,David Kendrick,Corporate,Central,10,2,490113,5,1,2,512,New / Promising
DK-13225,Dean Katz,Corporate,East,10,9,1719840,5,5,4,554,Champions
DK-13375,Dennis Kane,Consumer,East,19,8,635064,5,4,2,542,Needs Attention
DL-12865,Dan Lawera,Consumer,East,100,7,237069,3,4,1,341,Needs Attention
DL-12925,Daniel Lacy,Consumer,West,57,6,304090,3,3,2,332,Needs Attention
DL-13315,Delfina Latchford,Consumer,East,22,8,467673,5,4,2,542,Needs Attention
DL-13330,Denise Leinenbach,Consumer,West,57,4,71759,3,1,1,311,Needs Attention
DL-13495,Dionis Lloyd,Corporate,West,76,8,1868166,3,4,4,344,Loyal
DM-12955,Dario Medina,Corporate,Central,114,7,1123755,2,4,4,244,At-Risk High Value
DM-13015,Darrin Martin,Consumer,West,57,7,2086816,3,4,5,345,Loyal
DM-13345,Denise Monton,Corporate,South,22,8,996859,5,4,3,543,Loyal
DM-13525,Don Miller,Corporate,Central,481,3,346040,1,1,2,112,Lost / Hibernating
DN-13690,Duane Noonan,Consumer,West,217,7,169681,2,4,1,241,At-Risk
DO-13435,Denny Ordway,Consumer,South,133,9,4130482,2,5,5,255,At-Risk High Value
DO-13645,Doug O'Connell,Consumer,West,26,7,540890,5,4,2,542,Needs Attention
DP-13000,Darren Powers,Consumer,Central,126,8,213137,2,4,1,241,At-Risk
DP-13105,Dave Poirier,Corporate,West,6,8,1967925,5,4,4,544,Champions
DP-13165,David Philippe,Consumer,East,811,2,113076,1,1,1,111,Lost / Hibernating
DP-13390,Dennis Pardue,Home Office,Central,358,9,5001375,1,5,5,155,At-Risk High Value
DR-12880,Dan Reichenbach,Corporate,Central,3,9,3614005,5,5,5,555,Champions
DR-12940,Daniel Raglin,Home Office,East,50,8,1642889,4,4,4,444,Champions
DS-13030,Darrin Sayre,Home Office,West,93,4,890635,3,1,3,313,Needs Attention
DS-13180,David Smith,Corporate,Central,23,9,3713897,5,5,5,555,Champions
DV-13045,Darrin Van Huff,Corporate,West,19,5,1066374,5,2,3,523,New / Promising
DV-13465,Dianna Vittorini,Consumer,West,29,5,1492791,4,2,4,424,New / Promising
DW-13195,David Wiener,Corporate,Central,69,6,398758,3,3,2,332,Needs Attention
DW-13480,Dianna Wilson,Home Office,Central,217,5,1317658,2,2,4,224,Lost / Hibernating
DW-13540,Don Weiss,Consumer,West,98,5,122392,3,2,1,321,Needs Attention
DW-13585,Dorothy Wardle,Corporate,East,242,7,400416,1,4,2,142,At-Risk
Dl-13600,Dorris liebe,Corporate,Central,119,5,679462,2,2,3,223,Lost / Hibernating
Dp-13240,Dean percer,Home Office,West,84,11,3834534,3,5,5,355,Loyal
EA-14035,Erin Ashbrook,Corporate,South,152,12,1057750,2,5,3,253,At-Risk
EB-13705,Ed Braxton,Corporate,East,48,9,3610508,4,5,5,455,Champions
EB-13750,Edward Becker,Corporate,West,35,10,2049043,4,5,5,455,Champions
EB-13840,Ellis Ballard,Corporate,West,90,4,660446,3,1,3,313,Needs Attention
EB-13870,Emily Burns,Consumer,West,100,10,1785796,3,5,4,354,Loyal
EB-13930,Eric Barreto,Consumer,West,161,5,584672,2,2,2,222,Lost / Hibernating
EB-13975,Erica Bern,Corporate,West,0,4,1063043,5,1,3,513,New / Promising
EB-14110,Eugene Barchas,Consumer,East,113,6,2261540,2,3,5,235,At-Risk
EB-14170,Evan Bailliet,Consumer,South,82,6,142191,3,3,1,331,Needs Attention
EC-14050,Erin Creighton,Consumer,East,53,5,51127,4,2,1,421,New / Promising
ED-13885,Emily Ducich,Home Office,West,135,8,2783487,2,4,5,245,At-Risk High Value
EG-13900,Emily Grady,Consumer,East,22,5,1237156,5,2,4,524,New / Promising
EH-13765,Edward Hooks,Corporate,East,135,10,1687353,2,5,4,254,At-Risk High Value
EH-13945,Eric Hoffmann,Consumer,West,217,8,345348,2,4,2,242,At-Risk
EH-13990,Erica Hackney,Consumer,South,405,6,621902,1,3,2,132,At-Risk
EH-14005,Erica Hernandez,Home Office,West,2,7,628356,5,4,2,542,Needs Attention
EH-14125,Eugene Hildebrand,Home Office,Central,152,10,2173473,2,5,5,255,At-Risk High Value
EH-14185,Evan Henry,Consumer,South,105,6,761047,2,3,3,233,At-Risk
EJ-13720,Ed Jacobs,Consumer,West,302,4,800708,1,1,3,113,Lost / Hibernating
EJ-14155,Eva Jacobs,Consumer,South,57,5,1116980,3,2,4,324,Needs Attention
EK-13795,Eileen Kiefer,Home Office,West,44,4,148220,4,1,1,411,New / Promising
EL-13735,Ed Ludwig,Home Office,East,77,2,12428,3,1,1,311,Needs Attention
EM-13810,Eleni McCrary,Corporate,West,132,5,2354025,2,2,5,225,Lost / Hibernating
EM-13825,Elizabeth Moffitt,Corporate,Central,55,8,675840,3,4,3,343,Loyal
EM-13960,Eric Murdock,Consumer,East,151,5,191348,2,2,1,221,Lost / Hibernating
EM-14065,Erin Mull,Consumer,East,47,4,69555,4,1,1,411,New / Promising
EM-14095,Eudokia Martin,Corporate,West,113,4,442461,2,1,2,212,Lost / Hibernating
EM-14140,Eugene Moren,Home Office,West,48,6,1207874,4,3,4,434,Loyal
EM-14200,Evan Minnotte,Home Office,South,158,3,315513,2,1,2,212,Lost / Hibernating
EN-13780,Edward Nazzal,Consumer,East,287,4,356958,1,1,2,112,Lost / Hibernating
EP-13915,Emily Phan,Consumer,Central,12,17,11809730,5,5,5,555,Champions
ER-13855,Elpida Rittenbach,Corporate,Central,421,3,308159,1,1,2,112,Lost / Hibernating
ES-14020,Erica Smith,Consumer,West,40,5,3265973,4,2,5,425,New / Promising
ES-14080,Erin Smith,Corporate,South,28,9,1059877,4,5,3,453,Loyal
FA-14230,Frank Atkinson,Corporate,West,97,7,1249754,3,4,4,344,Loyal
FC-14245,Frank Carlisle,Home Office,East,70,7,822836,3,4,3,343,Loyal
FC-14335,Fred Chung,Corporate,Central,184,7,1483288,2,4,4,244,At-Risk High Value
FG-14260,Frank Gastineau,Home Office,West,34,7,571605,4,4,2,442,Needs Attention
FH-14275,Frank Hawley,Corporate,Central,37,10,2462329,4,5,5,455,Champions
FH-14350,Fred Harton,Consumer,West,212,4,401021,2,1,2,212,Lost / Hibernating
FH-14365,Fred Hopkins,Corporate,East,5,8,923662,5,4,3,543,Loyal
FM-14215,Filia McAdams,Corporate,East,7,10,419560,5,5,2,552,Needs Attention
FM-14290,Frank Merwin,Home Office,West,36,9,409600,4,5,2,452,Needs Attention
FM-14380,Fred McMath,Consumer,West,145,9,1188719,2,5,4,254,At-Risk High Value
FO-14305,Frank Olsen,Consumer,East,38,10,1083872,4,5,3,453,Loyal
FP-14320,Frank Preis,Consumer,West,23,8,3329338,5,4,5,545,Champions
FW-14395,Fred Wasserman,Corporate,South,362,3,4051,1,1,1,111,Lost / Hibernating
GA-14515,George Ashbrook,Consumer,West,149,5,1143078,2,2,4,224,Lost / Hibernating
GA-14725,Guy Armstrong,Consumer,East,5,11,484783,5,5,2,552,Needs Attention
GB-14530,George Bell,Corporate,East,62,11,523234,3,5,2,352,Needs Attention
GB-14575,Giulietta Baptist,Consumer,East,13,5,555039,5,2,2,522,New / Promising
GD-14590,Giulietta Dortch,Corporate,East,5,4,756977,5,1,3,513,New / Promising
GG-14650,Greg Guthrie,Corporate,South,43,9,1244674,4,5,4,454,Champions
GH-14410,Gary Hansen,Home Office,West,75,9,2371276,3,5,5,355,Loyal
GH-14425,Gary Hwang,Consumer,West,50,4,4030970,4,1,5,415,New / Promising
GH-14485,Gene Hale,Corporate,Central,387,2,1123914,1,1,4,114,Lost / Hibernating
GH-14665,Greg Hansen,Consumer,Central,2,2,819788,5,1,3,513,New / Promising
GK-14620,Grace Kelly,Corporate,West,112,9,4000913,2,5,5,255,At-Risk High Value
GM-14440,Gary McGarr,Consumer,West,83,7,942148,3,4,3,343,Loyal
GM-14455,Gary Mitchum,Home Office,Central,16,6,1481142,5,3,4,534,Loyal
GM-14500,Gene McClure,Consumer,East,106,10,370046,2,5,2,252,At-Risk
GM-14680,Greg Matthias,Consumer,West,152,6,960248,2,3,3,233,At-Risk
GM-14695,Greg Maxwell,Corporate,West,117,3,2039899,2,1,5,215,Lost / Hibernating
GP-14740,Guy Phonely,Corporate,East,764,2,14212,1,1,1,111,Lost / Hibernating
GR-14560,Georgia Rosenberg,Corporate,West,1135,2,126413,1,1,1,111,Lost / Hibernating
GT-14635,Grant Thornton,Corporate,South,56,3,1985108,3,1,4,314,Needs Attention
GT-14710,Greg Tran,Consumer,Central,36,11,3880500,4,5,5,455,Champions
GT-14755,Guy Thornton,Consumer,Central,34,4,132926,4,1,1,411,New / Promising
GW-14605,Giulietta Weimer,Consumer,West,28,7,1325856,4,4,4,444,Champions
