Customer_ID,first_order,last_order,total_orders,total_revenue,avg_order_value,Customer_Name,Segment,Region,tenure_days,recency_days,orders_per_year
AO-10810,2017-08-16,2017-08-16,1,16128,16128.0,Anthony O'Donnell,Corporate,West,0,501,
AP-10720,2015-03-03,2018-11-19,6,226657,37776.166666666664,Anne Pryor,Home Office,East,1357,41,1.61
AP-10915,2015-08-23,2018-09-23,10,1015605,101560.5,Arthur Prichep,Consumer,South,1127,98,3.24
AR-10345,2015-12-30,2018-09-10,4,957954,239488.5,Alex Russell,Corporate,East,985,111,1.48
AR-10405,2015-10-03,2018-08-27,5,1780827,356165.4,Allen Rosenblatt,Corporate,East,1059,125,1.72
AR-10510,2015-05-02,2018-12-16,5,120711,24142.2,Andrew Roberts,Consumer,East,1324,14,1.38
AR-10540,2015-11-25,2018-12-24,6,1236816,206136.0,Andy Reiter,Consumer,East,1125,6,1.95
AR-10570,2017-07-14,2017-07-14,1,5539,5539.0,Anemone Ratner,Consumer,South,0,534,
AR-10825,2015-06-30,2018-11-02,8,2959055,369881.875,Anthony Rawles,Corporate,West,1221,58,2.39
AS-10045,2015-07-27,2018-10-03,7,2257567,322509.5714285714,Aaron Smayling,Corporate,South,1164,88,2.2
AS-10090,2015-09-22,2018-12-02,9,1970668,218963.11111111112,Adam Shillingsburg,Consumer,South,1167,28,2.81
AS-10135,2017-11-13,2018-11-19,2,5882,2941.0,Adrian Shami,Home Office,East,371,41,1.97
AS-10225,2015-10-18,2018-12-08,5,450796,90159.2,Alan Schoenberger,Corporate,East,1147,22,1.59
AS-10240,2015-03-15,2018-06-21,5,421231,84246.2,Alan Shonely,Consumer,South,1194,192,1.53
AS-10285,2017-05-21,2018-12-11,6,568434,94739.0,Alejandro Savely,Corporate,West,569,19,3.85
AS-10630,2015-08-01,2018-09-29,7,271051,38721.57142857143,Ann Steele,Home Office,Central,1155,92,2.21
AT-10435,2015-12-27,2018-12-09,5,907691,181538.2,Alyssa Tate,Home Office,West,1078,21,1.69
AT-10735,2015-08-30,2018-12-17,10,622239,62223.9,Annie Thurman,Consumer,West,1205,13,3.03
AW-10840,2016-04-13,2018-12-10,4,255428,63857.0,Anthony Witt,Consumer,Central,971,20,1.5
AW-10930,2015-07-14,2018-11-14,7,1469542,209934.57142857142,Arthur Wiediger,Home Office,Central,1219,46,2.1
AY-10555,2015-04-06,2018-12-16,4,278071,69517.75,Andy Yotov,Corporate,West,1350,14,1.08
AZ-10750,2015-03-17,2018-07-23,6,1350182,225030.33333333334,Annie Zypern,Consumer,East,1224,160,1.79
BB-10990,2015-07-27,2018-09-16,5,438232,87646.4,Barry Blumstein,Corporate,West,1147,105,1.59
BB-11545,2016-06-05,2018-12-02,9,1728860,192095.55555555556,Brenda Bowman,Corporate,Central,910,28,3.61
BC-11125,2015-07-06,2018-06-11,9,2154546,239394.0,Becky Castell,Home Office,West,1071,202,3.07
BD-11320,2016-05-31,2018-11-27,12,2408861,200738.41666666666,Bill Donatelli,Consumer,West,910,33,4.81
BD-11500,2015-02-01,2018-11-25,6,1032319,172053.16666666666,Bradley Drucker,Consumer,Central,1393,35,1.57
BD-11560,2016-05-30,2018-03-27,2,32054,16027.0,Brendan Dodson,Home Office,West,666,278,1.1
BD-11605,2015-01-13,2018-09-24,6,922619,153769.83333333334,Brian Dahlen,Consumer,East,1350,97,1.62
BD-11620,2015-06-30,2018-10-22,6,1014247,169041.16666666666,Brian DeCherney,Consumer,West,1210,69,1.81
BD-11635,2015-10-05,2018-12-21,3,178501,59500.333333333336,Brian Derr,Consumer,South,1173,9,0.93
BD-11725,2016-07-03,2018-09-28,6,152650,25441.666666666668,Bruce Degenhardt,Consumer,South,817,93,2.68
BD-11770,2017-03-10,2018-02-06,6,449045,74840.83333333333,Bryan Davis,Consumer,Central,333,327,6.58
BE-11335,2017-01-15,2018-09-02,5,322337,64467.4,Bill Eplett,Home Office,Central,595,119,3.07
BE-11410,2017-02-07,2018-09-23,5,495179,99035.8,Bobby Elias,Consumer,East,593,98,3.08
BE-11455,2016-08-02,2017-09-05,5,172062,34412.4,Brad Eason,Home Office,Central,399,481,4.57
BF-10975,2015-07-14,2018-09-30,7,208991,29855.85714285714,Barbara Fisher,Corporate,South,1174,91,2.18
BF-11005,2015-09-25,2018-11-21,4,959813,239953.25,Barry Franz,Home Office,West,1153,39,1.27
BF-11020,2015-02-15,2018-10-17,8,1589977,198747.125,Barry Französisch,Corporate,Central,1340,74,2.18
BF-11080,2015-11-28,2018-12-05,3,21760,7253.333333333333,Bart Folk,Consumer,East,1103,25,0.99
BF-11170,2015-04-13,2018-12-14,11,2787105,253373.18181818182,Ben Ferrer,Home Office,West,1341,16,2.99
BF-11215,2015-11-09,2018-10-26,4,327061,81765.25,Benjamin Farhat,Home Office,West,1082,65,1.35
BF-11275,2015-03-22,2018-11-03,3,754271,251423.66666666666,Beth Fritzler,Corporate,West,1322,57,0.83
BG-11035,2015-11-05,2018-12-02,8,1992242,249030.25,Barry Gonzalez,Consumer,South,1123,28,2.6
BG-11695,2015-05-11,2018-11-24,6,1742592,290432.0,Brooke Gillingham,Corporate,East,1293,36,1.69
BG-11740,2015-03-23,2018-11-03,6,611274,101879.0,Bruce Geld,Consumer,East,1321,57,1.66
BH-11710,2015-06-09,2018-12-07,8,4741353,592669.125,Brosina Hoffman,Consumer,West,1277,23,2.29
BK-11260,2015-08-03,2018-10-14,6,126068,21011.333333333332,Berenike Kampe,Consumer,East,1168,77,1.88
BM-11140,2015-09-08,2018-02-26,4,9134567,2283641.75,Becky Martin,Consumer,Central,902,307,1.62
BM-11575,2016-09-15,2018-09-21,6,392119,65353.166666666664,Brendan Murry,Corporate,East,736,100,2.98
BM-11650,2015-07-09,2018-11-27,11,1415241,128658.27272727272,Brian Moss,Corporate,East,1237,33,3.25
BM-11785,2015-06-06,2018-05-26,10,1192754,119275.4,Bryan Mills,Consumer,East,1085,218,3.36
BN-11470,2015-09-12,2018-12-06,4,105528,26382.0,Brad Norvell,Corporate,South,1181,24,1.24
BN-11515,2015-03-17,2018-12-21,5,110955,22191.0,Bradley Nguyen,Consumer,West,1375,9,1.33
BO-11350,2017-01-03,2018-08-15,5,563516,112703.2,Bill Overfelt,Corporate,West,589,137,3.1
BO-11425,2016-09-10,2018-10-16,2,13083,6541.5,Bobby Odegard,Consumer,South,766,75,0.95
BP-11050,2015-10-12,2018-10-08,5,44477,8895.4,Barry Pond,Corporate,East,1092,83,1.67
BP-11095,2015-06-07,2018-12-13,12,869519,72459.91666666667,Bart Pistole,Corporate,Central,1285,17,3.41
BP-11155,2016-06-04,2018-10-02,6,209468,34911.333333333336,Becky Pak,Consumer,South,850,89,2.58
BP-11185,2016-03-24,2018-12-29,9,2118528,235392.0,Ben Peterman,Corporate,West,1010,1,3.25
BP-11230,2015-04-20,2018-11-21,5,118149,23629.8,Benjamin Patterson,Consumer,West,1311,39,1.39
BP-11290,2015-10-03,2018-12-18,7,1737733,248247.57142857142,Beth Paige,Consumer,Central,1172,12,2.18
BS-11365,2015-05-04,2017-06-20,5,1845660,369132.0,Bill Shonely,Corporate,East,778,558,2.35
BS-11380,2015-11-29,2018-12-02,5,2675588,535117.6,Bill Stewart,Corporate,Central,1099,28,1.66
BS-11590,2015-01-14,2018-11-25,6,1422601,237100.16666666666,Brendan Sweed,Corporate,West,1411,35,1.55
BS-11665,2015-06-23,2017-05-27,3,2145596,715198.6666666666,Brian Stugart,Consumer,East,704,582,1.56
BS-11755,2015-05-18,2018-12-29,7,1296496,185213.7142857143,Bruce Stewart,Consumer,West,1321,1,1.93
BS-11800,2016-09-26,2018-04-09,2,77699,38849.5,Bryan Spruell,Home Office,East,560,265,1.3
BT-11305,2015-04-25,2018-01-28,5,261001,52200.2,Beth Thompson,Home Office,West,1009,336,1.81
BT-11395,2015-10-28,2018-03-03,6,838116,139686.0,Bill Tyler,Corporate,Central,857,302,2.56
BT-11440,2015-06-04,2017-06-18,4,512841,128210.25,Bobby Trafton,Consumer,West,745,560,1.96
BT-11485,2016-12-27,2017-03-11,2,66221,33110.5,Brad Thomas,Home Office,East,74,659,9.86
BT-11530,2015-05-21,2018-09-30,5,2001554,400310.8,Bradley Talbott,Home Office,West,1228,91,1.49
BT-11680,2015-11-28,2018-12-10,7,375882,53697.42857142857,Brian Thompson,Consumer,East,1108,20,2.31
BV-11245,2016-03-26,2018-01-30,5,795119,159023.8,Benjamin Venier,Corporate,Central,675,334,2.7
BW-11065,2015-05-25,2018-06-01,3,372358,124119.33333333333,Barry Weirich,Consumer,South,1103,212,0.99
BW-11110,2016-03-20,2018-08-31,8,4190918,523864.75,Bart Watters,Corporate,Central,894,121,3.27
BW-11200,2015-08-12,2018-06-10,6,1316657,219442.83333333334,Ben Wallace,Consumer,South,1033,203,2.12
CA-11965,2015-01-26,2018-09-25,6,4047211,674535.1666666666,Carol Adams,Corporate,South,1338,96,1.64
CA-12055,2016-09-05,2017-11-24,5,1020042,204008.4,Cathy Armstrong,Home Office,Central,445,401,4.1
CA-12265,2015-03-25,2018-11-04,8,3730506,466313.25,Christina Anderson,Consumer,Central,1320,56,2.21
CA-12310,2015-07-19,2018-12-17,4,212597,53149.25,Christine Abelman,Corporate,East,1247,13,1.17
CA-12775,2015-06-28,2018-09-01,7,1836484,262354.85714285716,Cynthia Arntzen,Consumer,South,1161,120,2.2
CB-12025,2015-03-21,2018-11-13,9,2825073,313897.0,Cassandra Brandow,Consumer,East,1333,47,2.46
CB-12415,2016-11-05,2018-12-04,8,1605193,200649.125,Christy Brittain,Consumer,East,759,26,3.85
CB-12535,2016-01-02,2018-06-16,8,6231284,778910.5,Claudia Bergmann,Corporate,South,896,197,3.26
CC-12100,2015-12-16,2017-09-29,5,975078,195015.6,Chad Cunningham,Home Office,Central,653,457,2.79
CC-12145,2015-07-20,2018-09-15,7,2054311,293473.0,Charles Crestani,Consumer,West,1153,106,2.22
CC-12220,2015-09-09,2018-12-10,11,1512076,137461.45454545456,Chris Cortes,Consumer,Central,1188,20,3.38
CC-12370,2017-05-23,2018-11-17,5,9361086,1872217.2,Christopher Conant,Consumer,South,543,43,3.36
CC-12430,2016-09-06,2018-12-30,10,1162147,116214.7,Chuck Clark,Home Office,Central,845,0,4.32
CC-12475,2015-05-16,2018-11-21,9,193725,21525.0,Cindy Chapman,Consumer,East,1285,39,2.56
CC-12550,2018-06-15,2018-12-03,3,73008,24336.0,Clay Cheatham,Consumer,West,171,27,6.4
CC-12610,2015-08-27,2018-11-26,7,909822,129974.57142857143,Corey Catlett,Corporate,East,1187,34,2.15
CC-12670,2015-12-23,2018-12-01,7,10045850,1435121.4285714286,Craig Carreira,Consumer,East,1074,29,2.38
CC-12685,2015-03-22,2016-10-23,4,1528028,382007.0,Craig Carroll,Consumer,South,581,798,2.51
CD-11920,2015-03-24,2018-11-20,5,366727,73345.4,Carlos Daly,Consumer,West,1337,40,1.36
CD-11980,2017-11-24,2018-11-06,3,352702,117567.33333333333,Carol Darley,Consumer,Central,347,54,3.16
CD-12280,2018-11-05,2018-11-18,2,377863,188931.5,Christina DeMoss,Consumer,West,13,42,56.15
CD-12790,2015-02-02,2017-11-26,5,748656,149731.2,Cynthia Delaney,Home Office,West,1028,399,1.78
CG-12040,2016-06-01,2018-11-11,6,790645,131774.16666666666,Catherine Glotzbach,Home Office,East,893,49,2.45
CG-12520,2016-10-15,2018-01-26,3,237926,79308.66666666667,Claire Gute,Consumer,South,468,338,2.34
CH-12070,2016-06-25,2017-02-08,3,1240335,413445.0,Cathy Hwang,Home Office,South,228,690,4.8
CJ-11875,2017-12-30,2017-12-30,1,1652,1652.0,Carl Jackson,Corporate,East,0,365,
CJ-12010,2017-03-10,2018-06-24,8,4659540,582442.5,Caroline Jumper,Consumer,West,471,189,6.2
CK-12205,2015-03-11,2018-11-21,13,2405776,185059.6923076923,Chloris Kastensmidt,Consumer,East,1351,39,3.51
CK-12325,2015-03-14,2018-09-01,5,429497,85899.4,Christine Kargatis,Home Office,West,1267,120,1.44
CK-12595,2015-12-26,2018-11-17,11,555569,50506.27272727273,Clytie Kelty,Consumer,East,1057,43,3.8
CK-12760,2015-02-07,2018-10-09,9,519776,57752.88888888889,Cyma Kinney,Corporate,East,1340,82,2.45
CL-11890,2015-07-26,2018-09-15,4,273427,68356.75,Carl Ludwig,Consumer,East,1147,106,1.27
CL-12565,2015-03-04,2018-03-21,12,2733152,227762.66666666666,Clay Ludtke,Consumer,Central,1113,284,3.94
CL-12700,2017-04-24,2018-04-14,4,710303,177575.75,Craig Leslie,Home Office,Central,355,260,4.11
CM-11815,2015-11-14,2018-08-21,6,839264,139877.33333333334,Candace McMahon,Corporate,Central,1011,131,2.17
CM-11935,2016-09-24,2017-01-22,2,533784,266892.0,Carlos Meador,Consumer,South,120,707,6.08
CM-12115,2016-03-29,2018-12-22,4,166161,41540.25,Chad McGuire,Consumer,East,998,8,1.46
CM-12160,2017-10-21,2018-12-04,6,620940,103490.0,Charles McCrossin,Consumer,Central,409,26,5.35
CM-12190,2016-09-18,2018-12-22,6,322766,53794.333333333336,Charlotte Melton,Consumer,East,825,8,2.65
CM-12235,2017-05-01,2017-12-10,5,1526348,305269.6,Chris McAfee,Consumer,Central,223,385,8.18
CM-12385,2016-03-16,2018-11-23,4,2921410,730352.5,Christopher Martinez,Consumer,South,982,37,1.49
CM-12445,2015-06-09,2017-10-20,3,140498,46832.666666666664,Chuck Magee,Consumer,West,864,436,1.27
CM-12655,2016-11-03,2018-12-03,5,1676780,335356.0,Corinna Mitchell,Home Office,West,760,27,2.4
CM-12715,2015-03-07,2016-03-01,4,14798847,3699711.75,Craig Molinari,Corporate,Central,360,1034,4.06
CP-12085,2015-12-04,2018-10-09,8,954958,119369.75,Cathy Prescott,Corporate,East,1040,82,2.81
CP-12340,2015-03-17,2018-07-23,7,4842397,691771.0,Christine Phan,Corporate,East,1224,160,2.09
CR-12580,2017-04-18,2018-11-03,4,1946262,486565.5,Clay Rozendal,Home Office,Central,564,57,2.59
CR-12625,2015-06-01,2017-09-16,3,21562,7187.333333333333,Corey Roper,Home Office,East,838,470,1.31
CR-12730,2015-08-20,2018-10-13,4,683891,170972.75,Craig Reiter,Consumer,East,1150,78,1.27
CR-12820,2016-01-24,2018-10-06,3,1416047,472015.6666666667,Cyra Reiten,Home Office,East,986,85,1.11
CS-11845,2015-12-14,2018-09-30,5,1113723,222744.6,Cari Sayre,Corporate,West,1021,91,1.79
CS-11860,2015-05-02,2018-07-21,6,513818,85636.33333333333,Cari Schnelling,Consumer,South,1176,162,1.86
CS-11950,2015-06-08,2018-12-05,11,2625787,238707.9090909091,Carlos Soltero,Consumer,Central,1276,25,3.15
CS-12130,2015-08-05,2017-08-28,4,484320,121080.0,Chad Sievert,Consumer,West,754,489,1.94
CS-12175,2015-08-12,2018-05-12,5,100968,20193.6,Charles Sheldon,Corporate,South,1004,232,1.82
CS-12250,2015-01-13,2018-12-04,12,536553,44712.75,Chris Selesnick,Corporate,South,1421,26,3.08
CS-12355,2015-08-15,2018-12-24,11,1295926,117811.45454545454,Christine Sundaresam,Consumer,South,1227,6,3.27
CS-12400,2015-09-26,2018-12-28,9,8447918,938657.5555555555,Christopher Schild,Home Office,Central,1189,2,2.76
CS-12460,2018-07-03,2018-12-03,2,68226,34113.0,Chuck Sachs,Consumer,South,153,27,4.77
CS-12490,2016-01-12,2017-11-01,4,6018296,1504574.0,Cindy Schnelling,Corporate,Central,659,424,2.22
CS-12505,2015-03-26,2018-11-02,6,5076489,846081.5,Cindy Stewart,Consumer,South,1317,58,1.66
CT-11995,2015-05-07,2018-09-25,8,1608110,201013.75,Carol Triggs,Consumer,Central,1237,96,2.36
CV-12295,2015-03-28,2018-04-20,5,1115624,223124.8,Christina VanderZanden,Consumer,West,1119,254,1.63
CV-12805,2017-05-09,2018-12-25,9,4035688,448409.77777777775,Cynthia Voltz,Corporate,East,595,5,5.52
CW-11905,2015-06-09,2018-12-08,6,252468,42078.0,Carl Weiss,Home Office,Central,1278,22,1.71
CY-12745,2015-12-12,2018-10-31,7,925054,132150.57142857142,Craig Yedwab,Corporate,West,1054,60,2.42
Co-12640,2015-06-20,2017-06-29,5,99683,19936.6,Corey-Lock,Consumer,East,740,549,2.47
DA-13450,2015-04-25,2018-01-12,4,72484,18121.0,Dianna Arnett,Home Office,Central,993,352,1.47
DB-12910,2015-10-24,2018-12-09,8,1191013,148876.625,Daniel Byrd,Home Office,South,1142,21,2.56
DB-12970,2015-11-12,2018-05-03,4,2331942,582985.5,Darren Budd,Corporate,West,903,241,1.62
DB-13060,2015-03-01,2018-12-14,6,1387250,231208.33333333334,Dave Brooks,Consumer,West,1384,16,1.58
DB-13120,2016-05-01,2018-11-12,7,563452,80493.14285714286,David Bremer,Corporate,West,925,48,2.76
DB-13210,2016-03-22,2018-12-21,10,1549820,154982.0,Dean Braden,Consumer,Central,1004,9,3.64
DB-13270,2015-02-04,2018-11-07,8,1493450,186681.25,Deborah Brumfield,Home Office,West,1372,53,2.13
DB-13360,2015-11-19,2018-04-10,5,584144,116828.8,Dennis Bolton,Home Office,East,873,264,2.09
DB-13405,2016-08-08,2018-06-26,4,235314,58828.5,Denny Blanton,Consumer,Central,687,187,2.13
DB-13555,2015-04-21,2018-09-14,7,7489325,1069903.5714285714,Dorothy Badders,Corporate,South,1242,107,2.06
DB-13615,2015-09-30,2018-11-27,7,1234157,176308.14285714287,Doug Bickford,Consumer,West,1154,33,2.21
DB-13660,2015-06-17,2018-12-18,7,807307,115329.57142857143,Duane Benoit,Consumer,East,1280,12,2.0
DC-12850,2015-07-05,2018-11-23,9,3009603,334400.3333333333,Dan Campbell,Consumer,South,1237,37,2.66
DC-13285,2015-12-29,2018-12-07,5,922096,184419.2,Debra Catini,Consumer,Central,1074,23,1.7
DD-13570,2015-03-31,2018-11-19,6,143821,23970.166666666668,Dorothy Dickinson,Consumer,Central,1329,41,1.65
DE-13255,2015-08-22,2017-01-11,5,216886,43377.2,Deanra Eno,Home Office,East,508,718,3.59
DF-13135,2015-10-04,2017-01-30,3,1566314,522104.6666666667,David Flashing,Consumer,West,484,699,2.26
DG-13300,2015-11-01,2018-11-28,5,1249901,249980.2,Deirdre Greer,Corporate,East,1123,32,1.63
DH-13075,2015-11-21,2018-03-28,5,477688,95537.6,Dave Hallsten,Corporate,South,858,277,2.13
DH-13675,2015-08-12,2016-11-15,4,831911,207977.75,Duane Huffman,Home Office,East,461,775,3.17
DJ-13420,2015-12-08,2017-04-02,4,70311,17577.75,Denny Joy,Corporate,South,481,637,3.04
DJ-13510,2015-08-17,2018-11-12,8,1866612,233326.5,Don Jones,Corporate,South,1183,48,2.47
DJ-13630,2016-12-14,2018-12-18,3,1657810,552603.3333333334,Doug Jacobs,Consumer,East,734,12,1.49
DK-12835,2015-03-26,2018-12-09,12,607438,50619.833333333336,Damala Kotsonis,Corporate,West,1354,21,3.23
DK-12895,2016-03-08,2018-11-15,5,1361028,272205.6,Dana Kaydos,Consumer,Central,982,45,1.86
DK-12985,2015-11-24,2018-12-23,5,358559,71711.8,Darren Koutras,Consumer,South,1125,7,1.62
DK-13090,2016-03-02,2018-11-18,7,1731225,247317.85714285713,Dave Kipp,Consumer,West,991,42,2.58
DK-13150,2015-12-05,2018-12-20,2,490113,245056.5,David Kendrick,Corporate,Central,1111,10,0.66
DK-13225,2015-03-14,2018-12-20,9,1719840,191093.33333333334,Dean Katz,Corporate,East,1377,10,2.39
DK-13375,2015-09-07,2018-12-11,8,635064,79383.0,Dennis Kane,Consumer,East,1191,19,2.45
DL-12865,2015-06-29,2018-09-21,7,237069,33867.0,Dan Lawera,Consumer,East,1180,100,2.17
DL-12925,2015-09-09,2018-11-03,6,304090,50681.666666666664,Daniel Lacy,Consumer,West,1151,57,1.9
DL-13315,2015-01-16,2018-12-08,8,467673,58459.125,Delfina Latchford,Consumer,East,1422,22,2.05
DL-13330,2015-06-23,2018-11-03,4,71759,17939.75,Denise Leinenbach,Consumer,West,1229,57,1.19
DL-13495,2016-12-25,2018-10-15,8,1868166,233520.75,Dionis Lloyd,Corporate,West,659,76,4.43
DM-12955,2015-09-30,2018-09-07,7,1123755,160536.42857142858,Dario Medina,Corporate,Central,1073,114,2.38
DM-13015,2015-09-14,2018-11-03,7,2086816,298116.5714285714,Darrin Martin,Consumer,West,1146,57,2.23
DM-13345,2015-11-03,2018-12-08,8,996859,124607.375,Denise Monton,Corporate,South,1131,22,2.58
DM-13525,2015-07-05,2017-09-05,3,346040,115346.66666666667,Don Miller,Corporate,Central,793,481,1.38
DN-13690,2015-09-20,2018-05-27,7,169681,24240.14285714286,Duane Noonan,Consumer,West,980,217,2.61
DO-13435,2015-10-03,2018-08-19,9,4130482,458942.44444444444,Denny Ordway,Consumer,South,1051,133,3.13
DO-13645,2016-11-07,2018-12-04,7,540890,77270.0,Doug O'Connell,Consumer,West,757,26,3.38
DP-13000,2015-01-03,2018-08-26,8,213137,26642.125,Darren Powers,Consumer,Central,1331,126,2.19
DP-13105,2016-08-22,2018-12-24,8,1967925,245990.625,Dave Poirier,Corporate,West,854,6,3.42
DP-13165,2015-12-02,2016-10-10,2,113076,56538.0,David Philippe,Consumer,East,313,811,2.33
DP-13390,2015-07-05,2018-01-06,9,5001375,555708.3333333334,Dennis Pardue,Home Office,Central,916,358,3.59
DR-12880,2016-09-25,2018-12-27,9,3614005,401556.1111111111,Dan Reichenbach,Corporate,Central,823,3,3.99
DR-12940,2015-03-28,2018-11-10,8,1642889,205361.125,Daniel Raglin,Home Office,East,1323,50,2.21
DS-13030,2015-07-09,2018-09-28,4,890635,222658.75,Darrin Sayre,Home Office,West,1177,93,1.24
DS-13180,2015-04-28,2018-12-07,9,3713897,412655.22222222225,David Smith,Corporate,Central,1319,23,2.49
DV-13045,2017-06-12,2018-12-11,5,1066374,213274.8,Darrin Van Huff,Corporate,West,547,19,3.34
DV-13465,2015-06-22,2018-12-01,5,1492791,298558.2,Dianna Vittorini,Consumer,West,1258,29,1.45
DW-13195,2015-01-18,2018-10-22,6,398758,66459.66666666667,David Wiener,Corporate,Central,1373,69,1.6
DW-13480,2015-06-01,2018-05-27,5,1317658,263531.6,Dianna Wilson,Home Office,Central,1091,217,1.67
DW-13540,2017-02-27,2018-09-23,5,122392,24478.4,Don Weiss,Consumer,West,573,98,3.18
DW-13585,2015-08-24,2018-05-02,7,400416,57202.28571428572,Dorothy Wardle,Corporate,East,982,242,2.6
Dl-13600,2015-03-30,2018-09-02,5,679462,135892.4,Dorris liebe,Corporate,Central,1252,119,1.46
Dp-13240,2015-05-26,2018-10-07,11,3834534,348594.0,Dean percer,Home Office,West,1230,84,3.26
EA-14035,2015-09-13,2018-07-31,12,1057750,88145.83333333333,Erin Ashbrook,Corporate,South,1052,152,4.16
EB-13705,2015-07-08,2018-11-12,9,3610508,401167.55555555556,Ed Braxton,Corporate,East,1223,48,2.69
EB-13750,2016-03-12,2018-11-25,10,2049043,204904.3,Edward Becker,Corporate,West,988,35,3.69
